association_id,gene_id,disease_id,confidence_score,evidence_level
ASSOC00265,GENE0091,DIS0285,0.83,Moderate
ASSOC00266,GENE0778,DIS0169,0.87,Emerging
ASSOC00267,GENE0288,DIS0026,0.54,Emerging
ASSOC00268,GENE1313,DIS0138,0.54,Emerging
ASSOC00269,GENE0553,DIS0480,0.93,Strong
ASSOC00270,GENE0327,DIS0347,0.57,Moderate
ASSOC00271,GENE0464,DIS0347,0.92,Moderate
ASSOC00272,GENE1374,DIS0279,0.89,Moderate
ASSOC00273,GENE0661,DIS0067,0.76,Strong
ASSOC00274,GENE0920,DIS0191,0.58,Strong
ASSOC00275,GENE0469,DIS0118,0.8,Moderate
ASSOC00276,GENE1172,DIS0473,0.71,Moderate
ASSOC00277,GENE1021,DIS0101,0.85,Strong
ASSOC00278,GENE0561,DIS0104,0.86,Emerging
ASSOC00279,GENE1392,DIS0262,0.73,Emerging
ASSOC00280,GENE1468,DIS0179,0.78,Emerging
ASSOC00281,GENE1172,DIS0200,0.61,Emerging
ASSOC00282,GENE0569,DIS0466,0.71,Moderate
ASSOC00283,GENE0470,DIS0147,0.7,Emerging
ASSOC00284,GENE0022,DIS0348,0.65,Moderate
ASSOC00285,GENE1351,DIS0045,0.58,Emerging
ASSOC00286,GENE0519,DIS0156,0.85,Emerging
ASSOC00287,GENE1302,DIS0079,0.93,Emerging
ASSOC00288,GENE0542,DIS0442,0.5,Strong
ASSOC00289,GENE0849,DIS0363,0.63,Emerging
ASSOC00290,GENE1151,DIS0348,0.9,Strong
ASSOC00291,GENE0942,DIS0097,0.99,Moderate
ASSOC00292,GENE0933,DIS0083,0.63,Moderate
ASSOC00293,GENE0528,DIS0246,0.73,Emerging
ASSOC00294,GENE0103,DIS0209,0.6,Moderate
ASSOC00295,GENE1230,DIS0193,0.95,Emerging
ASSOC00296,GENE0119,DIS0483,0.65,Moderate
ASSOC00297,GENE0231,DIS0273,0.54,Strong
ASSOC00298,GENE0255,DIS0256,0.7,Moderate
ASSOC00299,GENE0164,DIS0049,0.6,Strong
ASSOC00300,GENE1203,DIS0026,0.83,Moderate
ASSOC00301,GENE0916,DIS0027,0.97,Emerging
ASSOC00302,GENE0628,DIS0071,0.76,Moderate
ASSOC00303,GENE1345,DIS0265,0.7,Moderate
ASSOC00304,GENE0384,DIS0297,0.98,Strong
ASSOC00305,GENE0639,DIS0140,0.53,Strong
ASSOC00306,GENE1146,DIS0422,0.96,Moderate
ASSOC00307,GENE1467,DIS0319,0.64,Emerging
ASSOC00308,GENE0799,DIS0209,0.81,Strong
ASSOC00309,GENE0795,DIS0099,0.79,Strong
ASSOC00310,GENE0186,DIS0322,0.56,Emerging
ASSOC00311,GENE0072,DIS0348,0.59,Moderate
ASSOC00312,GENE0961,DIS0346,0.57,Strong
ASSOC00313,GENE0478,DIS0334,0.57,Moderate
ASSOC00314,GENE0841,DIS0403,0.87,Strong
ASSOC00315,GENE0958,DIS0384,0.53,Emerging
ASSOC00316,GENE0532,DIS0499,0.99,Strong
ASSOC00318,GENE1351,DIS0458,0.54,Emerging
ASSOC00319,GENE0227,DIS0058,0.69,Strong
ASSOC00320,GENE0777,DIS0353,0.71,Moderate
ASSOC00321,GENE0593,DIS0230,0.77,Strong
ASSOC00322,GENE0990,DIS0411,0.56,Moderate
ASSOC00323,GENE0679,DIS0067,0.82,Moderate
ASSOC00324,GENE0030,DIS0474,0.67,Emerging
ASSOC00325,GENE0025,DIS0329,0.53,Moderate
ASSOC00326,GENE0816,DIS0223,0.72,Emerging
ASSOC00327,GENE0349,DIS0107,0.84,Strong
ASSOC00328,GENE1243,DIS0265,0.67,Emerging
ASSOC00329,GENE0342,DIS0456,0.87,Strong
ASSOC00330,GENE0245,DIS0117,0.73,Strong
ASSOC00331,GENE1341,DIS0466,0.66,Moderate
ASSOC00332,GENE0139,DIS0041,0.51,Moderate
ASSOC00333,GENE1170,DIS0034,0.72,Strong
ASSOC00334,GENE0449,DIS0155,0.76,Emerging
ASSOC00335,GENE0540,DIS0391,0.7,Emerging
ASSOC00336,GENE1029,DIS0416,0.61,Moderate
ASSOC00337,GENE0907,DIS0481,0.97,Moderate
ASSOC00338,GENE0615,DIS0202,0.65,Moderate
ASSOC00339,GENE0928,DIS0230,0.51,Moderate
ASSOC00340,GENE0429,DIS0169,0.84,Moderate
ASSOC00341,GENE0569,DIS0420,0.86,Moderate
ASSOC00342,GENE0284,DIS0161,0.91,Moderate
ASSOC00343,GENE0615,DIS0445,0.88,Emerging
ASSOC00344,GENE1175,DIS0011,0.67,Moderate
ASSOC00345,GENE0394,DIS0468,0.67,Moderate
ASSOC00346,GENE0335,DIS0040,0.69,Strong
ASSOC00347,GENE1299,DIS0124,0.66,Emerging
ASSOC00348,GENE0459,DIS0305,0.69,Moderate
ASSOC00349,GENE1021,DIS0434,0.96,Strong
ASSOC00350,GENE1060,DIS0235,0.96,Emerging
ASSOC00351,GENE0352,DIS0436,0.53,Strong
ASSOC00352,GENE0935,DIS0223,0.77,Moderate
ASSOC00353,GENE1176,DIS0063,0.53,Strong
ASSOC00354,GENE0872,DIS0312,0.88,Emerging
ASSOC00355,GENE0744,DIS0042,0.73,Strong
ASSOC00356,GENE0637,DIS0190,0.91,Moderate
ASSOC00357,GENE0545,DIS0278,0.54,Strong
ASSOC00358,GENE0828,DIS0468,0.84,Moderate
ASSOC00359,GENE0084,DIS0403,0.72,Moderate
ASSOC00360,GENE0285,DIS0191,0.6,Strong
ASSOC00361,GENE0255,DIS0314,0.73,Emerging
ASSOC00362,GENE1218,DIS0017,0.77,Strong
ASSOC00363,GENE0189,DIS0347,0.57,Strong
ASSOC00364,GENE0317,DIS0451,0.56,Moderate
ASSOC00365,GENE1483,DIS0307,0.63,Emerging
ASSOC00366,GENE0490,DIS0192,0.78,Strong
ASSOC00367,GENE0019,DIS0342,0.64,Moderate
ASSOC00368,GENE1478,DIS0424,0.77,Moderate
ASSOC00369,GENE1262,DIS0232,0.55,Moderate
ASSOC00370,GENE1011,DIS0226,0.98,Moderate
ASSOC00371,GENE0969,DIS0312,0.62,Strong
ASSOC00372,GENE1314,DIS0233,0.57,Emerging
ASSOC00373,GENE0187,DIS0471,0.67,Moderate
ASSOC00374,GENE1453,DIS0260,0.74,Emerging
ASSOC00375,GENE1182,DIS0172,0.63,Moderate
ASSOC00376,GENE1311,DIS0429,0.77,Moderate
ASSOC00377,GENE1419,DIS0170,0.93,Strong
ASSOC00378,GENE0899,DIS0292,0.7,Emerging
ASSOC00379,GENE0161,DIS0483,0.52,Moderate
ASSOC00380,GENE0545,DIS0299,0.79,Moderate
ASSOC00381,GENE0997,DIS0134,0.95,Emerging
ASSOC00382,GENE0892,DIS0386,0.65,Emerging
ASSOC00383,GENE0434,DIS0267,0.71,Emerging
ASSOC00384,GENE0206,DIS0293,0.65,Strong
ASSOC00385,GENE1272,DIS0237,0.99,Emerging
ASSOC00386,GENE1260,DIS0354,0.52,Strong
ASSOC00387,GENE0569,DIS0172,0.94,Moderate
ASSOC00388,GENE1453,DIS0211,0.57,Emerging
ASSOC00389,GENE0004,DIS0295,0.71,Strong
ASSOC00390,GENE0924,DIS0083,0.52,Strong
ASSOC00392,GENE1084,DIS0111,0.66,Moderate
ASSOC00393,GENE0541,DIS0107,0.87,Emerging
ASSOC00394,GENE0603,DIS0320,0.69,Moderate
ASSOC00395,GENE0952,DIS0413,0.52,Moderate
ASSOC00396,GENE0868,DIS0284,0.95,Emerging
ASSOC00397,GENE1434,DIS0427,0.57,Strong
ASSOC00398,GENE0924,DIS0104,0.67,Strong
ASSOC00399,GENE0441,DIS0250,0.91,Emerging
ASSOC00400,GENE1481,DIS0377,0.92,Moderate
ASSOC00401,GENE0904,DIS0482,0.88,Strong
ASSOC00402,GENE0162,DIS0389,0.81,Emerging
ASSOC00403,GENE0372,DIS0153,0.59,Strong
ASSOC00404,GENE0920,DIS0088,0.62,Moderate
ASSOC00405,GENE0479,DIS0033,0.94,Strong
ASSOC00406,GENE0465,DIS0033,0.71,Emerging
ASSOC00407,GENE0298,DIS0186,0.83,Strong
ASSOC00408,GENE0155,DIS0469,0.85,Emerging
ASSOC00409,GENE1358,DIS0347,0.72,Emerging
ASSOC00410,GENE0157,DIS0152,0.9,Strong
ASSOC00411,GENE1465,DIS0365,0.78,Emerging
ASSOC00412,GENE1206,DIS0470,0.84,Emerging
ASSOC00413,GENE1196,DIS0336,0.66,Moderate
ASSOC00414,GENE0224,DIS0191,0.83,Moderate
ASSOC00415,GENE1341,DIS0216,0.85,Moderate
ASSOC00416,GENE0871,DIS0018,0.63,Emerging
ASSOC00417,GENE0042,DIS0489,0.63,Emerging
ASSOC00418,GENE0260,DIS0221,0.79,Emerging
ASSOC00419,GENE0189,DIS0131,0.66,Emerging
ASSOC00420,GENE0431,DIS0435,0.84,Moderate
ASSOC00421,GENE1114,DIS0230,0.97,Moderate
ASSOC00422,GENE0264,DIS0113,0.76,Emerging
ASSOC00423,GENE0017,DIS0148,0.97,Moderate
ASSOC00424,GENE0836,DIS0394,0.61,Moderate
ASSOC00425,GENE0654,DIS0281,0.89,Emerging
ASSOC00426,GENE0496,DIS0210,0.56,Strong
ASSOC00427,GENE1477,DIS0288,0.86,Emerging
ASSOC00428,GENE0112,DIS0141,0.94,Emerging
ASSOC00429,GENE0720,DIS0375,0.88,Emerging
ASSOC00430,GENE0063,DIS0431,0.9,Strong
ASSOC00431,GENE0225,DIS0112,0.69,Moderate
ASSOC00432,GENE0761,DIS0004,0.9,Emerging
ASSOC00433,GENE1469,DIS0242,0.96,Emerging
ASSOC00434,GENE0129,DIS0498,0.72,Emerging
ASSOC00435,GENE0971,DIS0100,0.9,Emerging
ASSOC00436,GENE0494,DIS0301,0.97,Emerging
ASSOC00437,GENE0467,DIS0305,0.75,Strong
ASSOC00438,GENE1009,DIS0023,0.96,Moderate
ASSOC00439,GENE0578,DIS0253,0.87,Strong
ASSOC00440,GENE1282,DIS0460,0.54,Emerging
ASSOC00441,GENE0539,DIS0408,0.82,Moderate
ASSOC00442,GENE1424,DIS0420,0.93,Emerging
ASSOC00443,GENE0022,DIS0190,0.69,Emerging
ASSOC00444,GENE0244,DIS0117,0.59,Emerging
ASSOC00445,GENE0296,DIS0141,0.98,Strong
ASSOC00446,GENE0438,DIS0164,0.98,Strong
ASSOC00447,GENE0053,DIS0068,0.76,Emerging
ASSOC00448,GENE0046,DIS0457,0.91,Moderate
ASSOC00449,GENE0809,DIS0357,0.55,Emerging
ASSOC00450,GENE0020,DIS0150,0.51,Emerging
ASSOC00451,GENE0905,DIS0394,0.67,Emerging
ASSOC00452,GENE0717,DIS0386,0.77,Strong
ASSOC00453,GENE0786,DIS0164,0.63,Moderate
ASSOC00454,GENE0417,DIS0397,0.53,Strong
ASSOC00455,GENE0352,DIS0068,0.73,Emerging
ASSOC00456,GENE0293,DIS0315,0.59,Strong
ASSOC00457,GENE1268,DIS0406,0.91,Emerging
ASSOC00458,GENE0018,DIS0199,0.66,Moderate
ASSOC00459,GENE1109,DIS0114,0.82,Strong
ASSOC00460,GENE0726,DIS0135,0.88,Moderate
ASSOC00461,GENE0763,DIS0311,0.61,Strong
ASSOC00462,GENE0024,DIS0149,0.89,Strong
ASSOC00463,GENE0234,DIS0344,0.75,Emerging
ASSOC00464,GENE1373,DIS0209,0.62,Emerging
ASSOC00465,GENE1442,DIS0319,0.68,Emerging
ASSOC00466,GENE1314,DIS0299,0.69,Strong
ASSOC00467,GENE1046,DIS0176,0.91,Strong
ASSOC00468,GENE0413,DIS0500,0.67,Moderate
ASSOC00469,GENE1028,DIS0237,0.58,Strong
ASSOC00470,GENE0123,DIS0410,0.66,Strong
ASSOC00471,GENE1046,DIS0180,0.73,Emerging
ASSOC00472,GENE0777,DIS0113,0.9,Strong
ASSOC00473,GENE0559,DIS0350,0.64,Moderate
ASSOC00474,GENE0414,DIS0446,0.55,Emerging
ASSOC00475,GENE0242,DIS0225,0.83,Strong
ASSOC00476,GENE1044,DIS0255,0.75,Emerging
ASSOC00477,GENE0519,DIS0410,0.63,Strong
ASSOC00478,GENE0575,DIS0377,0.57,Emerging
ASSOC00479,GENE1065,DIS0120,0.54,Emerging
ASSOC00480,GENE1228,DIS0192,0.57,Strong
ASSOC00481,GENE1227,DIS0296,0.63,Emerging
ASSOC00482,GENE0650,DIS0398,0.99,Moderate
ASSOC00483,GENE0544,DIS0164,0.93,Emerging
ASSOC00484,GENE0946,DIS0327,0.85,Moderate
ASSOC00485,GENE0778,DIS0075,0.88,Strong
ASSOC00486,GENE0823,DIS0346,0.53,Emerging
ASSOC00487,GENE0088,DIS0455,0.61,Emerging
ASSOC00488,GENE0602,DIS0229,0.57,Moderate
