publication_id,title,journal,year,doi
PUB0113,Genomic Study 113,Cell,2017,10.1000/dgm.0113
PUB0114,Genomic Study 114,Lancet,2018,10.1000/dgm.0114
PUB0115,Genomic Study 115,NEJM,2019,10.1000/dgm.0115
PUB0116,Genomic Study 116,Nature,2020,10.1000/dgm.0116
PUB0117,Genomic Study 117,Science,2021,10.1000/dgm.0117
PUB0118,Genomic Study 118,Cell,2022,10.1000/dgm.0118
PUB0119,Genomic Study 119,Lancet,2023,10.1000/dgm.0119
PUB0120,Genomic Study 120,NEJM,2024,10.1000/dgm.0120
PUB0121,Genomic Study 121,Nature,2025,10.1000/dgm.0121
PUB0122,Genomic Study 122,Science,2015,10.1000/dgm.0122
PUB0123,Genomic Study 123,Cell,2016,10.1000/dgm.0123
PUB0124,Genomic Study 124,Lancet,2017,10.1000/dgm.0124
PUB0125,Genomic Study 125,NEJM,2018,10.1000/dgm.0125
PUB0126,Genomic Study 126,Nature,2019,10.1000/dgm.0126
PUB0127,Genomic Study 127,Science,2020,10.1000/dgm.0127
PUB0128,Genomic Study 128,Cell,2021,10.1000/dgm.0128
PUB0129,Genomic Study 129,Lancet,2022,10.1000/dgm.0129
PUB0130,Genomic Study 130,NEJM,2023,10.1000/dgm.0130
PUB0131,Genomic Study 131,Nature,2024,10.1000/dgm.0131
PUB0132,Genomic Study 132,Science,2025,10.1000/dgm.0132
PUB0133,Genomic Study 133,Cell,2015,10.1000/dgm.0133
PUB0134,Genomic Study 134,Lancet,2016,10.1000/dgm.0134
PUB0135,Genomic Study 135,NEJM,2017,10.1000/dgm.0135
PUB0136,Genomic Study 136,Nature,2018,10.1000/dgm.0136
PUB0137,Genomic Study 137,Science,2019,10.1000/dgm.0137
PUB0138,Genomic Study 138,Cell,2020,10.1000/dgm.0138
PUB0139,Genomic Study 139,Lancet,2021,10.1000/dgm.0139
PUB0140,Genomic Study 140,NEJM,2022,10.1000/dgm.0140
PUB0141,Genomic Study 141,Nature,2023,10.1000/dgm.0141
PUB0142,Genomic Study 142,Science,2024,10.1000/dgm.0142
PUB0143,Genomic Study 143,Cell,2025,10.1000/dgm.0143
PUB0144,Genomic Study 144,Lancet,2015,10.1000/dgm.0144
PUB0145,Genomic Study 145,NEJM,2016,10.1000/dgm.0145
PUB0146,Genomic Study 146,Nature,2017,10.1000/dgm.0146
PUB0147,Genomic Study 147,Science,2018,10.1000/dgm.0147
PUB0148,Genomic Study 148,Cell,2019,10.1000/dgm.0148
PUB0149,Genomic Study 149,Lancet,2020,10.1000/dgm.0149
PUB0150,Genomic Study 150,NEJM,2021,10.1000/dgm.0150
PUB0151,Genomic Study 151,Nature,2022,10.1000/dgm.0151
PUB0152,Genomic Study 152,Science,2023,10.1000/dgm.0152
PUB0153,Genomic Study 153,Cell,2024,10.1000/dgm.0153
PUB0154,Genomic Study 154,Lancet,2025,10.1000/dgm.0154
PUB0155,Genomic Study 155,NEJM,2015,10.1000/dgm.0155
PUB0156,Genomic Study 156,Nature,2016,10.1000/dgm.0156
PUB0157,Genomic Study 157,Science,2017,10.1000/dgm.0157
PUB0158,Genomic Study 158,Cell,2018,10.1000/dgm.0158
PUB0159,Genomic Study 159,Lancet,2019,10.1000/dgm.0159
PUB0160,Genomic Study 160,NEJM,2020,10.1000/dgm.0160
PUB0161,Genomic Study 161,Nature,2021,10.1000/dgm.0161
PUB0162,Genomic Study 162,Science,2022,10.1000/dgm.0162
PUB0163,Genomic Study 163,Cell,2023,10.1000/dgm.0163
PUB0164,Genomic Study 164,Lancet,2024,10.1000/dgm.0164
PUB0165,Genomic Study 165,NEJM,2025,10.1000/dgm.0165
PUB0166,Genomic Study 166,Nature,2015,10.1000/dgm.0166
PUB0167,Genomic Study 167,Science,2016,10.1000/dgm.0167
PUB0168,Genomic Study 168,Cell,2017,10.1000/dgm.0168
PUB0169,Genomic Study 169,Lancet,2018,10.1000/dgm.0169
PUB0170,Genomic Study 170,NEJM,2019,10.1000/dgm.0170
PUB0171,Genomic Study 171,Nature,2020,10.1000/dgm.0171
PUB0172,Genomic Study 172,Science,2021,10.1000/dgm.0172
PUB0173,Genomic Study 173,Cell,2022,10.1000/dgm.0173
PUB0174,Genomic Study 174,Lancet,2023,10.1000/dgm.0174
PUB0175,Genomic Study 175,NEJM,2024,10.1000/dgm.0175
PUB0176,Genomic Study 176,Nature,2025,10.1000/dgm.0176
PUB0177,Genomic Study 177,Science,2015,10.1000/dgm.0177
PUB0178,Genomic Study 178,Cell,2016,10.1000/dgm.0178
PUB0179,Genomic Study 179,Lancet,2017,10.1000/dgm.0179
PUB0180,Genomic Study 180,NEJM,2018,10.1000/dgm.0180
PUB0181,Genomic Study 181,Nature,2019,10.1000/dgm.0181
PUB0182,Genomic Study 182,Science,2020,10.1000/dgm.0182
PUB0183,Genomic Study 183,Cell,2021,10.1000/dgm.0183
PUB0184,Genomic Study 184,Lancet,2022,10.1000/dgm.0184
PUB0185,Genomic Study 185,NEJM,2023,10.1000/dgm.0185
PUB0186,Genomic Study 186,Nature,2024,10.1000/dgm.0186
PUB0187,Genomic Study 187,Science,2025,10.1000/dgm.0187
PUB0188,Genomic Study 188,Cell,2015,10.1000/dgm.0188
PUB0189,Genomic Study 189,Lancet,2016,10.1000/dgm.0189
PUB0190,Genomic Study 190,NEJM,2017,10.1000/dgm.0190
PUB0191,Genomic Study 191,Nature,2018,10.1000/dgm.0191
PUB0192,Genomic Study 192,Science,2019,10.1000/dgm.0192
PUB0193,Genomic Study 193,Cell,2020,10.1000/dgm.0193
PUB0194,Genomic Study 194,Lancet,2021,10.1000/dgm.0194
PUB0195,Genomic Study 195,NEJM,2022,10.1000/dgm.0195
PUB0196,Genomic Study 196,Nature,2023,10.1000/dgm.0196
PUB0197,Genomic Study 197,Science,2024,10.1000/dgm.0197
PUB0198,Genomic Study 198,Cell,2025,10.1000/dgm.0198
PUB0199,Genomic Study 199,Lancet,2015,10.1000/dgm.0199
PUB0200,Genomic Study 200,NEJM,2016,10.1000/dgm.0200
PUB0201,Genomic Study 201,Nature,2017,10.1000/dgm.0201
PUB0202,Genomic Study 202,Science,2018,10.1000/dgm.0202
PUB0203,Genomic Study 203,Cell,2019,10.1000/dgm.0203
PUB0204,Genomic Study 204,Lancet,2020,10.1000/dgm.0204
PUB0205,Genomic Study 205,NEJM,2021,10.1000/dgm.0205
PUB0206,Genomic Study 206,Nature,2022,10.1000/dgm.0206
PUB0207,Genomic Study 207,Science,2023,10.1000/dgm.0207
PUB0208,Genomic Study 208,Cell,2024,10.1000/dgm.0208
PUB0209,Genomic Study 209,Lancet,2025,10.1000/dgm.0209
PUB0210,Genomic Study 210,NEJM,2015,10.1000/dgm.0210
PUB0211,Genomic Study 211,Nature,2016,10.1000/dgm.0211
PUB0212,Genomic Study 212,Science,2017,10.1000/dgm.0212
PUB0213,Genomic Study 213,Cell,2018,10.1000/dgm.0213
PUB0214,Genomic Study 214,Lancet,2019,10.1000/dgm.0214
PUB0215,Genomic Study 215,NEJM,2020,10.1000/dgm.0215
PUB0216,Genomic Study 216,Nature,2021,10.1000/dgm.0216
PUB0217,Genomic Study 217,Science,2022,10.1000/dgm.0217
PUB0218,Genomic Study 218,Cell,2023,10.1000/dgm.0218
PUB0219,Genomic Study 219,Lancet,2024,10.1000/dgm.0219
PUB0220,Genomic Study 220,NEJM,2025,10.1000/dgm.0220
PUB0221,Genomic Study 221,Nature,2015,10.1000/dgm.0221
PUB0222,Genomic Study 222,Science,2016,10.1000/dgm.0222
PUB0223,Genomic Study 223,Cell,2017,10.1000/dgm.0223
PUB0224,Genomic Study 224,Lancet,2018,10.1000/dgm.0224
PUB0225,Genomic Study 225,NEJM,2019,10.1000/dgm.0225
PUB0226,Genomic Study 226,Nature,2020,10.1000/dgm.0226
PUB0227,Genomic Study 227,Science,2021,10.1000/dgm.0227
PUB0228,Genomic Study 228,Cell,2022,10.1000/dgm.0228
PUB0229,Genomic Study 229,Lancet,2023,10.1000/dgm.0229
PUB0230,Genomic Study 230,NEJM,2024,10.1000/dgm.0230
PUB0231,Genomic Study 231,Nature,2025,10.1000/dgm.0231
PUB0232,Genomic Study 232,Science,2015,10.1000/dgm.0232
PUB0233,Genomic Study 233,Cell,2016,10.1000/dgm.0233
PUB0234,Genomic Study 234,Lancet,2017,10.1000/dgm.0234
PUB0235,Genomic Study 235,NEJM,2018,10.1000/dgm.0235
PUB0236,Genomic Study 236,Nature,2019,10.1000/dgm.0236
PUB0237,Genomic Study 237,Science,2020,10.1000/dgm.0237
PUB0238,Genomic Study 238,Cell,2021,10.1000/dgm.0238
PUB0239,Genomic Study 239,Lancet,2022,10.1000/dgm.0239
PUB0240,Genomic Study 240,NEJM,2023,10.1000/dgm.0240
PUB0241,Genomic Study 241,Nature,2024,10.1000/dgm.0241
PUB0242,Genomic Study 242,Science,2025,10.1000/dgm.0242
PUB0243,Genomic Study 243,Cell,2015,10.1000/dgm.0243
PUB0244,Genomic Study 244,Lancet,2016,10.1000/dgm.0244
PUB0245,Genomic Study 245,NEJM,2017,10.1000/dgm.0245
PUB0246,Genomic Study 246,Nature,2018,10.1000/dgm.0246
PUB0247,Genomic Study 247,Science,2019,10.1000/dgm.0247
PUB0248,Genomic Study 248,Cell,2020,10.1000/dgm.0248
PUB0249,Genomic Study 249,Lancet,2021,10.1000/dgm.0249
PUB0250,Genomic Study 250,NEJM,2022,10.1000/dgm.0250
PUB0251,Genomic Study 251,Nature,2023,10.1000/dgm.0251
PUB0252,Genomic Study 252,Science,2024,10.1000/dgm.0252
PUB0253,Genomic Study 253,Cell,2025,10.1000/dgm.0253
PUB0254,Genomic Study 254,Lancet,2015,10.1000/dgm.0254
PUB0255,Genomic Study 255,NEJM,2016,10.1000/dgm.0255
PUB0256,Genomic Study 256,Nature,2017,10.1000/dgm.0256
PUB0257,Genomic Study 257,Science,2018,10.1000/dgm.0257
PUB0258,Genomic Study 258,Cell,2019,10.1000/dgm.0258
PUB0259,Genomic Study 259,Lancet,2020,10.1000/dgm.0259
PUB0260,Genomic Study 260,NEJM,2021,10.1000/dgm.0260
PUB0261,Genomic Study 261,Nature,2022,10.1000/dgm.0261
PUB0262,Genomic Study 262,Science,2023,10.1000/dgm.0262
PUB0263,Genomic Study 263,Cell,2024,10.1000/dgm.0263
PUB0264,Genomic Study 264,Lancet,2025,10.1000/dgm.0264
PUB0265,Genomic Study 265,NEJM,2015,10.1000/dgm.0265
PUB0266,Genomic Study 266,Nature,2016,10.1000/dgm.0266
PUB0267,Genomic Study 267,Science,2017,10.1000/dgm.0267
PUB0268,Genomic Study 268,Cell,2018,10.1000/dgm.0268
PUB0269,Genomic Study 269,Lancet,2019,10.1000/dgm.0269
PUB0270,Genomic Study 270,NEJM,2020,10.1000/dgm.0270
PUB0271,Genomic Study 271,Nature,2021,10.1000/dgm.0271
PUB0272,Genomic Study 272,Science,2022,10.1000/dgm.0272
PUB0273,Genomic Study 273,Cell,2023,10.1000/dgm.0273
PUB0274,Genomic Study 274,Lancet,2024,10.1000/dgm.0274
PUB0275,Genomic Study 275,NEJM,2025,10.1000/dgm.0275
PUB0276,Genomic Study 276,Nature,2015,10.1000/dgm.0276
PUB0277,Genomic Study 277,Science,2016,10.1000/dgm.0277
PUB0278,Genomic Study 278,Cell,2017,10.1000/dgm.0278
PUB0279,Genomic Study 279,Lancet,2018,10.1000/dgm.0279
PUB0280,Genomic Study 280,NEJM,2019,10.1000/dgm.0280
PUB0281,Genomic Study 281,Nature,2020,10.1000/dgm.0281
PUB0282,Genomic Study 282,Science,2021,10.1000/dgm.0282
PUB0283,Genomic Study 283,Cell,2022,10.1000/dgm.0283
PUB0284,Genomic Study 284,Lancet,2023,10.1000/dgm.0284
PUB0285,Genomic Study 285,NEJM,2024,10.1000/dgm.0285
PUB0286,Genomic Study 286,Nature,2025,10.1000/dgm.0286
PUB0287,Genomic Study 287,Science,2015,10.1000/dgm.0287
PUB0288,Genomic Study 288,Cell,2016,10.1000/dgm.0288
PUB0289,Genomic Study 289,Lancet,2017,10.1000/dgm.0289
PUB0290,Genomic Study 290,NEJM,2018,10.1000/dgm.0290
PUB0291,Genomic Study 291,Nature,2019,10.1000/dgm.0291
PUB0292,Genomic Study 292,Science,2020,10.1000/dgm.0292
PUB0293,Genomic Study 293,Cell,2021,10.1000/dgm.0293
PUB0294,Genomic Study 294,Lancet,2022,10.1000/dgm.0294
PUB0295,Genomic Study 295,NEJM,2023,10.1000/dgm.0295
PUB0296,Genomic Study 296,Nature,2024,10.1000/dgm.0296
PUB0297,Genomic Study 297,Science,2025,10.1000/dgm.0297
PUB0298,Genomic Study 298,Cell,2015,10.1000/dgm.0298
PUB0299,Genomic Study 299,Lancet,2016,10.1000/dgm.0299
PUB0300,Genomic Study 300,NEJM,2017,10.1000/dgm.0300
PUB0301,Genomic Study 301,Nature,2018,10.1000/dgm.0301
PUB0302,Genomic Study 302,Science,2019,10.1000/dgm.0302
PUB0303,Genomic Study 303,Cell,2020,10.1000/dgm.0303
PUB0304,Genomic Study 304,Lancet,2021,10.1000/dgm.0304
PUB0305,Genomic Study 305,NEJM,2022,10.1000/dgm.0305
PUB0306,Genomic Study 306,Nature,2023,10.1000/dgm.0306
PUB0307,Genomic Study 307,Science,2024,10.1000/dgm.0307
PUB0308,Genomic Study 308,Cell,2025,10.1000/dgm.0308
PUB0309,Genomic Study 309,Lancet,2015,10.1000/dgm.0309
PUB0310,Genomic Study 310,NEJM,2016,10.1000/dgm.0310
PUB0311,Genomic Study 311,Nature,2017,10.1000/dgm.0311
PUB0312,Genomic Study 312,Science,2018,10.1000/dgm.0312
PUB0313,Genomic Study 313,Cell,2019,10.1000/dgm.0313
PUB0314,Genomic Study 314,Lancet,2020,10.1000/dgm.0314
PUB0315,Genomic Study 315,NEJM,2021,10.1000/dgm.0315
PUB0316,Genomic Study 316,Nature,2022,10.1000/dgm.0316
PUB0317,Genomic Study 317,Science,2023,10.1000/dgm.0317
PUB0318,Genomic Study 318,Cell,2024,10.1000/dgm.0318
PUB0319,Genomic Study 319,Lancet,2025,10.1000/dgm.0319
PUB0320,Genomic Study 320,NEJM,2015,10.1000/dgm.0320
PUB0321,Genomic Study 321,Nature,2016,10.1000/dgm.0321
PUB0322,Genomic Study 322,Science,2017,10.1000/dgm.0322
PUB0323,Genomic Study 323,Cell,2018,10.1000/dgm.0323
PUB0324,Genomic Study 324,Lancet,2019,10.1000/dgm.0324
PUB0325,Genomic Study 325,NEJM,2020,10.1000/dgm.0325
PUB0326,Genomic Study 326,Nature,2021,10.1000/dgm.0326
PUB0327,Genomic Study 327,Science,2022,10.1000/dgm.0327
PUB0328,Genomic Study 328,Cell,2023,10.1000/dgm.0328
PUB0329,Genomic Study 329,Lancet,2024,10.1000/dgm.0329
PUB0330,Genomic Study 330,NEJM,2025,10.1000/dgm.0330
PUB0331,Genomic Study 331,Nature,2015,10.1000/dgm.0331
PUB0332,Genomic Study 332,Science,2016,10.1000/dgm.0332
PUB0333,Genomic Study 333,Cell,2017,10.1000/dgm.0333
PUB0334,Genomic Study 334,Lancet,2018,10.1000/dgm.0334
PUB0335,Genomic Study 335,NEJM,2019,10.1000/dgm.0335
PUB0336,Genomic Study 336,Nature,2020,10.1000/dgm.0336
PUB0337,Genomic Study 337,Science,2021,10.1000/dgm.0337
PUB0338,Genomic Study 338,Cell,2022,10.1000/dgm.0338
PUB0339,Genomic Study 339,Lancet,2023,10.1000/dgm.0339
PUB0340,Genomic Study 340,NEJM,2024,10.1000/dgm.0340
PUB0341,Genomic Study 341,Nature,2025,10.1000/dgm.0341
PUB0342,Genomic Study 342,Science,2015,10.1000/dgm.0342
PUB0343,Genomic Study 343,Cell,2016,10.1000/dgm.0343
PUB0344,Genomic Study 344,Lancet,2017,10.1000/dgm.0344
PUB0345,Genomic Study 345,NEJM,2018,10.1000/dgm.0345
PUB0346,Genomic Study 346,Nature,2019,10.1000/dgm.0346
PUB0347,Genomic Study 347,Science,2020,10.1000/dgm.0347
PUB0348,Genomic Study 348,Cell,2021,10.1000/dgm.0348
PUB0349,Genomic Study 349,Lancet,2022,10.1000/dgm.0349
PUB0350,Genomic Study 350,NEJM,2023,10.1000/dgm.0350
PUB0351,Genomic Study 351,Nature,2024,10.1000/dgm.0351
PUB0352,Genomic Study 352,Science,2025,10.1000/dgm.0352
PUB0353,Genomic Study 353,Cell,2015,10.1000/dgm.0353
PUB0354,Genomic Study 354,Lancet,2016,10.1000/dgm.0354
PUB0355,Genomic Study 355,NEJM,2017,10.1000/dgm.0355
PUB0356,Genomic Study 356,Nature,2018,10.1000/dgm.0356
PUB0357,Genomic Study 357,Science,2019,10.1000/dgm.0357
PUB0358,Genomic Study 358,Cell,2020,10.1000/dgm.0358
PUB0359,Genomic Study 359,Lancet,2021,10.1000/dgm.0359
PUB0360,Genomic Study 360,NEJM,2022,10.1000/dgm.0360
PUB0361,Genomic Study 361,Nature,2023,10.1000/dgm.0361
PUB0362,Genomic Study 362,Science,2024,10.1000/dgm.0362
PUB0363,Genomic Study 363,Cell,2025,10.1000/dgm.0363
PUB0364,Genomic Study 364,Lancet,2015,10.1000/dgm.0364
PUB0365,Genomic Study 365,NEJM,2016,10.1000/dgm.0365
PUB0366,Genomic Study 366,Nature,2017,10.1000/dgm.0366
PUB0367,Genomic Study 367,Science,2018,10.1000/dgm.0367
PUB0368,Genomic Study 368,Cell,2019,10.1000/dgm.0368
PUB0369,Genomic Study 369,Lancet,2020,10.1000/dgm.0369
PUB0370,Genomic Study 370,NEJM,2021,10.1000/dgm.0370
PUB0371,Genomic Study 371,Nature,2022,10.1000/dgm.0371
PUB0372,Genomic Study 372,Science,2023,10.1000/dgm.0372
PUB0373,Genomic Study 373,Cell,2024,10.1000/dgm.0373
PUB0374,Genomic Study 374,Lancet,2025,10.1000/dgm.0374
PUB0375,Genomic Study 375,NEJM,2015,10.1000/dgm.0375
PUB0376,Genomic Study 376,Nature,2016,10.1000/dgm.0376
PUB0377,Genomic Study 377,Science,2017,10.1000/dgm.0377
PUB0378,Genomic Study 378,Cell,2018,10.1000/dgm.0378
PUB0379,Genomic Study 379,Lancet,2019,10.1000/dgm.0379
PUB0380,Genomic Study 380,NEJM,2020,10.1000/dgm.0380
PUB0381,Genomic Study 381,Nature,2021,10.1000/dgm.0381
PUB0382,Genomic Study 382,Science,2022,10.1000/dgm.0382
PUB0383,Genomic Study 383,Cell,2023,10.1000/dgm.0383
PUB0384,Genomic Study 384,Lancet,2024,10.1000/dgm.0384
PUB0385,Genomic Study 385,NEJM,2025,10.1000/dgm.0385
PUB0386,Genomic Study 386,Nature,2015,10.1000/dgm.0386
PUB0387,Genomic Study 387,Science,2016,10.1000/dgm.0387
PUB0388,Genomic Study 388,Cell,2017,10.1000/dgm.0388
PUB0389,Genomic Study 389,Lancet,2018,10.1000/dgm.0389
PUB0390,Genomic Study 390,NEJM,2019,10.1000/dgm.0390
PUB0391,Genomic Study 391,Nature,2020,10.1000/dgm.0391
PUB0392,Genomic Study 392,Science,2021,10.1000/dgm.0392
PUB0393,Genomic Study 393,Cell,2022,10.1000/dgm.0393
PUB0394,Genomic Study 394,Lancet,2023,10.1000/dgm.0394
PUB0395,Genomic Study 395,NEJM,2024,10.1000/dgm.0395
PUB0396,Genomic Study 396,Nature,2025,10.1000/dgm.0396
PUB0397,Genomic Study 397,Science,2015,10.1000/dgm.0397
PUB0398,Genomic Study 398,Cell,2016,10.1000/dgm.0398
PUB0399,Genomic Study 399,Lancet,2017,10.1000/dgm.0399
PUB0400,Genomic Study 400,NEJM,2018,10.1000/dgm.0400
PUB0401,Genomic Study 401,Nature,2019,10.1000/dgm.0401
PUB0402,Genomic Study 402,Science,2020,10.1000/dgm.0402
PUB0403,Genomic Study 403,Cell,2021,10.1000/dgm.0403
PUB0404,Genomic Study 404,Lancet,2022,10.1000/dgm.0404
PUB0405,Genomic Study 405,NEJM,2023,10.1000/dgm.0405
PUB0406,Genomic Study 406,Nature,2024,10.1000/dgm.0406
PUB0407,Genomic Study 407,Science,2025,10.1000/dgm.0407
PUB0408,Genomic Study 408,Cell,2015,10.1000/dgm.0408
